product_name,Attributes
"CeraVe Foaming Facial Cleanser for Oily Skin, Safe and Effective Makeup Remover","Product Quantity:1, Product Sheet Size:type, Product size:12 Ounce (Pack of 2), Product Weight:680.39 Grams"
"CeraVe SA Cleanser Salicylic Acid Face Wash with Hyaluronic Acid, Niacinamide &amp; Ceramides for Exfoliated and Hydrated Skin","Product Form Factor:Gel, Product Scent:Unscented, Product Sheet Size:type, Product size:8 Fl Oz (Pack of 1), Product Weight:226.8 Grams"
"CeraVe SA Cleanser Salicylic Acid Face Wash with Hyaluronic Acid, Niacinamide &amp; Ceramides for Exfoliated and Hydrated Skin","Product Form Factor:Liquid, Product Scent:fragrance free, Product Sheet Size:type, Product size:8 Fl Oz (Pack of 2), Product Weight:564.44 Grams"
MAYBELLINE NEW YORK Colossal Kajal Argan Oil Khol Eyeliner for Intense Eye Definition,"Product color:Black, Product Form Factor:Pencil, Product Quantity:1, Product Sheet Size:type, Product Weight:4 Grams"
Maybelline New York Lash Sensational Sky High Mascara for Sky High Lashes,"Product color:Black, Product Form Factor:Gel, Product Sheet Size:type, Product Weight:20 Grams"
Minimalist Vitamin C Serum - a highly stable and effective face serum with 10% vitamin C and acetyl glucosamine for radiant skin,"Product Form Factor:Serum, Product Weight:30 Grams"
Merchant Ambassador ST020 Board and Card Games - Multi-Color,"Product Genre:Family, Product Language:â€ŽEnglish, Multilingual, Product Language/s:â€ŽEnglish, Multilingual, Product Material:Plastic, Product Players:2, Product Sheet Size:type, Product Weight:880 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Spray, Product Scent:Floral, Product Sheet Size:type, Product size:200mL, Product Special Feature:Fresh, Product Weight:189.94 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Fresh, Product Sheet Size:type, Product size:200mL, Product Special Feature:Fresh, Product Weight:294.84 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Floral, Product Sheet Size:type, Product size:200mL, Product Special Feature:Floral, Product Weight:189.94 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Wood, Product Sheet Size:type, Product size:100mL, Product Special Feature:Fresh, Product Weight:96.39 g"
